"Grunauer von Hoerschelman, Susanne",Griechische mu_nzen.,===> Solicitar a/por: DEGIP: 1-1-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liepman, Ursula",Glas der antike.,===> Solicitar a/por: DEGIP: 1-1-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Friedman, RenŽe, ed.; Adams, Barbara, ed.","The followers of Horus: studies dedicated to Michael Allen Hoffman, 1944-1990.",===> Solicitar a/por: DEGIP: 1-1-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hope, Colin",Excavation at Malaka and the Birket Habu 1971-1974.,===> Solicitar a/por: DEGIP: 1-1-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selim, Abdel-Kader",Les obŽlisques Žgyptiens: historie et archŽologie.,===> Solicitar a/por: DEGIP: 1-1-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hornung, Erik",Texte zum Amduat.,===> Solicitar a/por: DEGIP: 1-1-31a; 1-1-31b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hornung, Erik",Texte sum Amduat.,===> Solicitar a/por: DEGIP: 1-1-31b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matthiae, Paolo, ed.; Loon, Maurits van, ed.; Weiss, Harvey, ed.",Resurrecting the past: a joint tribute to Adnan Bounni.,===> Solicitar a/por: DEGIP: 1-1-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grimal, Nicolas Christophe",Les termes de la propagande royale Žgyptienne de la XIXe dynastie a la conquete d'Alexandre.,===> Solicitar a/por: DEGIP: 1-1-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borger, Rykle",Assyrisch-babylonische zeichenliste.,===> Solicitar a/por: DEGIP: 1-1-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
