Ubicación física;Título;Autor(es)
DEGIP: 2-2-27b;"Excavaciones en Ehnasya El Medina: Heracleópolis Magna; volumen II";
DEGIP: 2-2-28;Cultural interaction in the Ancient Near East: papers read at a symposium held at the University of Melbourne;
DEGIP: 2-2-29;"Proceedings; vol. 1";
DEGIP: 2-2-30;Studies in the Iron Age pottery of Israel: typologica, archaeological and chronological aspects;
DEGIP: 2-2-31;Annual egyptological bibliography 1978;
DEGIP: 2-2-32;Pelusium: prospection archéologique et topographique de la région de Tell El Kana'is, 1993 et 1994;
DEGIP: 2-2-33;Dendara I: traduction;
"DEGIP: 2-3-1a;b;c;d;e";<The> Oxford encyclopedia of archaeology in the Near East;
DEGIP: 1-6-4;<The> fortress of Buhen: the archaeological report;
DEGIP: 1-6-1, DEGIP: 1-6-2;Atlas zur Altaegyptischen Kulturgeschichte: Zweter Teil;
"DEGIP: 2-3-2a;b;c;d;e;f,g;h";<The> Cambridge history of Africa;
DEGIP: 2-1-21;"<The> Nubian pottery from the Palace district of Avaris at Ezbet Helmi, areas H/III and H/VI; part 1: the ""classic"" Kerma pottery from the 18th Dynasty";
DEGIP: 1-4-18;Labor in the Ancient Near East;
DEGIP: 2-3-3;Encyclopedia of the archaeology of ancient Egypt;
DEGIP: Ref 11 a 11-4;Wörterbuch der aegyptischen sprache;
DEGIP: Ref 11-5 a 11-12;Wörterbuch der aegyptischen sprache: die belegstellen;
DEGIP: 2-1-22;Three studies on egyptian feasts and their chronological implications;
DEGIP: 2-1-23;"Three campaigns of the Argentine Archaeological Mission at Tell el-Ghaba, North Sinai, Egypt; a Salvage Project";
DEGIP: 2-1-24;On the origin of basket-handle jars from Mendes;
DEGIP: 2-1-25;<A> priestly family of Busiris in the Saite period;
DEGIP: 2-1-26;An ancient Mendesian industry;
DEGIP: A-8;;Daneri de Rodrigo, Alicia
DEGIP: 2-1-28;Algunas reflexiones acerca de la frontera sur de Egipto durante el Reino Antiguo;
DEGIP: 1-5-4;<La> stèle triomphale de PI(ANKH)Y au Musèe du Caire: je 48862 et 47086-47089;
DEGIP: 1-5-3a;"Textbook of Aramaic documents fron ancient Egypt: 1 Letters; appendix: Aramaic letters from the bible";
DEGIP: 1-5-2;Old hieratic paleography;
"DEGIP: 1-5-3b; 1-5-3b1";Textbook of Aramaic documents fron ancient Egypt: 2 Contractsm;
DEGIP: 1-5-5;Denkmäler aus Aegypten und Aethiopien;
"DEGIP: 2-1-29; 2-1-30";Ancient Egypt, the Aegean, and the Near East: studies in honour of Martha Rhoads Bell;
DEGIP: 2-1-31;Archäologische Denkmalpflege in Niederbayern: 10 jahre aussenstelle des bayerischen landesamtes für Denkmalpflege in Landshut (1973-1983);
"DEGIP: 1-6-7; 1-6-8; 1-6-9";"<Le> Delta Egyptien d'après les textes grecs; 1: les confins libyques";
DEGIP: 1-6-5;<The> Temple of Mentuhotep at Deir El-Bahari;
DEGIP: 1-6-6;Hieratic papyri in the British Museum;
DEGIP: 1-6-3;<The> battle reliefs of King Sety I;
DEGIP: REF 1;Egyptian grammar: being an introduction to the study of hieroglyphs;
DEGIP: Ref 2;A concice dictionary of Middle Egyptian;
DEGIP: Ref 3;Diccionario italiano-español español-italiano;
