Ubicación física;Título;Autor(es)
DIMED:J3;Saints: studies in hagiography;
DIMED:L125;Platon, je connais!;
DIMED:L126;Aristote, je connais!;
DIMED:L118;<The> Albigensian Crusades;
DIMED:F5;Anglon-norman Warfare;
DIMED:I1;<Las> instituciones castellano-leonesas y portuguesas antes del Tratado de Tordesillas;
DIMED:F1;<La> liturgie des heures en Orient et en Occident: origine et sens de l'office divin;
DIMED:F3;<El> arte islámico;
DIMED:D1;Introduction a la litterature gnostique;
DIMED:L22;Women and the book : assessing the visual evidence;
DIMED:L41;<Des> goths a la nation gothique : les origines de l'idée de nation en Occident du Ve au VIIe siecle;
DIMED:L15;Cristianismo marginado : rebeldes, excluidos, perseguidos;
DIMED:H1;<The> church in western Europe from the tenth to the early twelfth century;
DIMED:F4;Chartes et documents de l'Abbaye de Saint Magloire;
DIMED:M2;<La> voile des vierges;
DIMED:M2;<A> son épouse;
DIMED:M2;<La> pudicité;
DIMED:E17;Histoire du Moyen Age francais: chronologie commentée de Clovis a Louis XI, 486-1483;
DIMED:F1;Vivir con la muerte;
DIMED:B3;<La> plainte funebre;
DIMED:E132;Mort e pouvoir;
DIMED:I3a,b,c,d,f,g,h;<A> history of magic and experimental science: during the first thirteen centuries of our era;
DIMED:E231;Rituel cathare;
DIMED:L36;Forgetful of their sex: female sanctity and society, ca. 500-1100;
DIMED:I4;Religion et droit dans le développment de la pensée constitutionelle, 1150-1650;
DIMED:I4;<The> idea of natural rights: studies on natural rights, natural laws and church laws, 1150-1650;
DIMED:N310;Rights, laws and infallibility in medieval thought;
DIMED:D3;<La> conquista de América: el problema del otro;
DIMED:E1;Nosotros y los otros: reflexión sobre la diversidad humana;
DIMED:I5;Petrus Alfonsi and his medieval readers;
DIMED:E136;<La> monarquía;
DIMED:K3a,b,c,d,e;Suma de teología;
DIMED:N41;Suma teológica : nueva versión sobre el texto latino : tomo XI : La prudencia, la justicia y el derecho;
DIMED:L219;Petite somme politique: anthologie de textes politiques;
DIMED:I4;Manual de historia del derecho español;
DIMED:L14;Segundos estudios de frontera : actividad y vida en la frontera;
DIMED:J3;Ciudades hispano-musulmanas;
DIMED:H4;Vacabulaire historique du Moyen Age;
DIMED:K4;Maladie et societé au Moyen Age: la lepre, les lépreux et les leproseries dans la province ecclésiastique de Sens jusqu'au milieu du XIVe siecle;
DIMED:D1;<Un> art dirigé: reforme gregorienne et iconographie;
DIMED:G5;Ilaria del Carreto e il suo monumento: la donna nell´arte e la societá del 400;
DIMED:G5;Vestirsi e travestirsi in Sicilia: abbigliamento, feste e specttacoli nel Medioevo;
DIMED:M5;<Il> regno di Sicilia: uomo e natura dall'XI al XIII secolo;
DIMED:D3;<Los> condotieros: soldados de la fortuna;
DIMED:L54;<The> journey of the magi : meanings in history of a christian story;
DIMED:E3;Miroirs de la vielliese en France au siecle des lumiéres;
DIMED:L115;<I> libri di famiglia dei Da Sala;
DIMED:B0;Leyendas para una historia paralela del Aragón medieval;
DIMED:D2;<The> humanism of Coluccio Salutati;
DIMED:L121;Ancient writings and its influence;
DIMED:M3;Principi di governo e politica nel Medioevo;
DIMED:E07;Política, seguridad y orden público en la Castilla de los Reyes Católicos;
DIMED:J22;Itinéraires des danses macabres;
DIMED:J412;Machiavel et la fragilité du politique;
DIMED:I1;<Las> crónicas de Indias como expresión y configuración de la mentalidad renacentista;
DIMED:L21;<La> controversia judeocristiana en España : desde los orígenes hasta el siglo XIII;
DIMED:B3;<Les> coutumiers, les styles, les formulaires et les artes notariae;
DIMED:E3;Love and marriage in the twelfth century;
DIMED:F2;<La> muerte del rey: el ceremonial funerario de la monarquía española, 1500-1885;
DIMED:E2;<La> sainteté en Occident aux derniers siecles du Moyen Age;
DIMED:D1;<Les> laics au Moyen Age: practiques et expériences religieuses;
DIMED:F2;<La> espiritualidad del Occidente medieval, siglos VIII-XII;
DIMED:N1;<La> religion civique a l'époque médievale et moderne: Chrétienté et Islam;
DIMED:J2a,b;Dictionnaire encyclopédique du Moyen Age;
DIMED:L57;Saints, prophetes et visionnaires : le pouvoir surnaturel au Moyen Age;
DIMED:B4;<Del> incesto en psicoanálisis y en antropología;
DIMED:D4;Tratados castellanos sobre la predestinación y sobre la trinidad y la encarnación del maestro fray Diego de Valencia OFM, siglo XV;
DIMED:E5;Estadísticas históricas argentinas: suplemento 1970-1990;
DIMED:M5;<En> la encrucijada de la ciencia histórica hoy: el auge de la historia cultural;
DIMED:D0;<La> vida de San Alejo: versiones castellanas;
DIMED:F1;<L'>histoire des contes;
DIMED:I4;<The> use and abuse of escatology in the Middle Ages;
DIMED:F2;<La> nuit au Moyen Age;
DIMED:F2;<Le> plaisir au Moyen Age;
DIMED:J5;Voyager au Moyen Age;
DIMED:L417;<Les> femmes en l'An Mil;
DIMED:D2;Alfonso de Cartagena y el Defensorium Unitatis Christianae;
DIMED:G5;Istituzioni e sapere nel XIII secolo;
DIMED:I3;<Il> rinascimento del XII secolo;
DIMED:K5;<Les> gens de savoir en Europe a la fin du Moyen Age;
DIMED:F1;<La> muerte en la poesía y en el arte de Grecia;
DIMED:J2;Entre mythe et politique;
DIMED:D2;<La> Bible au Moyen Age: bibliographie;
DIMED:F2;<La> bibliotheque de l'Abbaye de Clairvaux su XIIe au XVIIIe siecle;
DIMED:F2;<La> cultura hispanoárabe en Oriente y Occidente;
DIMED:D1;Historia de la teología cristiana;
DIMED:E4;<Le> navire médieval a travers les miniatures;
DIMED:D2;Opera medica omnia;
DIMED:N24;Justicia y monarquía : puntos de vista sobre su evolución en el reinado de los Reyes Católicos;
DIMED:I1;Cuaderno: siglo XIII;
DIMED:M1a,b;<La> conquete de Constantinople;
DIMED:D4;Tratado de la consolación;
DIMED:G1;Obras completas 1;
DIMED:I227;Pensée mythique et narrations médiévales;
DIMED:H2;Michel Foucault, genealogy as critique;
DIMED:N311;Leonardo Bruni e Firenze : studi sulle lettere pubbliche e private;
DIMED:N313;Storia d'Italia, annali II : gli ebrei in Italia, dall'Alto Medioevo all'etá dei ghetti;
DIMED:B3;<Les> libri paenitentiales;
DIMED:B3;<Les> regles monastiques anciennes, 400-700;
DIMED:M2;<Les> regles de saints peres;
DIMED:G1;Bestiaire chrétien: l'imagerie animale des auteurs du haut Moyen Age, Ve-XIe siecle;
DIMED:L510;Tous les rois de France;
DIMED:L113;Ecclesiastical authorithy and spiritual power in the church of the first three centuries;
DIMED:B3;Kartographische quellen: well, regional und seekarten;
DIMED:J1;Heresies of the High Middle Ages;
DIMED:J2;<The> resurrection of the body in Western Christianity, 200-1336;
DIMED:E5;<El> pensamiento político medieval y los orígenes del derecho internacional;
DIPA: 6-1-30;Arqueología de rescate en el Banco Central de la República Argentina;
DIMED:I2;Diritto naturale e giustizia materiale;
DIMED:D4;Petit dictionnaire de droit canonique;
DIMED:L38;Naissance de la noblesse : l'essor des élites politiques en Europe;
DIMED:F4;Manuscrits latins de médecine du Haut Moyen Age dans les bibliotheques de France;
DIMED:D5;Bibliotheques ecclésiastiques au temp de la papauté d'Avignon;
DIMED:D5;<La> bibliotheque de Philippe le Hardi, duc de Bourgogne, 1364-1404;
DIMED:J1;Automme du Moyen Age ou printemps des temps nouveaux ? : l'économie européenne aux XIVe et XVe siecles;
DIMED:L217;Vittorino da Feltre and other humanist educators;
DIMED:L18;Devils, women and jews: reflections of the other in Medieval sermons stories;
DIMED:N5;<La> cena segreta: trattati e rituali catari;
DIMED:E4;Deux palais du Caire médiéval: Waqfs et architecture;
DIMED:D4;Poema de Fernán González;
DIMED:D2;Finzione e santita tra medioevo ed eta moderna;
DIMED:E226;Ideas y presagios del descubrimiento de América;
DIMED:E2;<El> rey y el cadáver: cuentos psicológicos sobre la conquista del mal;
DIMED:D4;<Las> sociedades de frontera en la España medieval;
DIMED:B0a,b,c,d,e,f,g,h,i;Anales de la corona de Aragón;
DIGEO:11;Gauchos y gringos en la tierra ajena;
DIGEO:12;Ensayo de una biografía del inmigrante;
DIGEO:13;<El> debate de los partidos políticos;
DIGEO:14;Geopolítica del hambre: ensayo sobre los problemas alimentarios y demográficos del mundo;
DIGEO:15;Población mundial;
DIGEO:16;Problemas de los movimientos de población en España;
DIGEO:17;Historia económica de la población mundial;
DIGEO:18;<El> hambre;
DIGEO:19;<El> aborigen rioplatense en la historia y ante la ley;
DIGEO:110;Population geography;
DIGEO:111;Historia y estructura de la población mundial: iniciación a la demografía;
DIGEO:112, 1103;<La> población del mundo hoy: procesos etnodemográficos;
DIGEO:113;<El> miedo a la inmigración;
DIGEO:114;Uno más: crónica de un inmigrante;
DIGEO:115;Techniques of population analysis;
DIGEO:117;Geography of population;
DIGEO:118;<La> surpopulation: l'inflation démographique;
DIGEO:119;<Las> etnias;
DIGEO:120;<El> Mediterráneo: los hombres y su herencia;
DIGEO:121;Fronteras;
DIGEO:122;Fuegia: novela;
DIGEO:123;<La> population francaise;
DIGEO:124;<El> mundo superpoblado;
DIGEO:125;<La> genética de las poblaciones;
DIGEO:127;"Argentina, 1875-1975: población, economía, sociedad; estudio temático y bibliográfico";
DIGEO:128;Pequeño censo de 1927;
DIGEO:129;<El> estado de las clases obreras argentinas a comienzos del siglo;
DIGEO:130;Inmigración en Tucumán;
"DIGEO:131;1633";<La> población residente habitual de Antártida Argentina, 1904-1960;
DIGEO:134;<El> diluvio humano;
DIGEO:135;<Qué> <es> ser emigrante;
DIGEO:136;<La> transition démographique dans le monde;
DIGEO:137;Hombres del surco: semblanzas de agricultores;
DIGEO:138;Inmigración y nacionalidad;
DIGEO:133;<La> amenaza mundial del hambre;
DIGEO:139;Demografía y estructura social;
DIGEO:140;Historia y población: un futuro sin porvenir;
DIGEO:141;Ser y no ser de los argentinos: sociología para nosotros;
DIGEO:142;Teorías de la población y su interpretación económica;
DIGEO:143;Gendered jobs and social change;
DIGEO:144;<El> sexo oculto del dinero: formas de la dependencia femenina;
DIGEO:147;<Los> inmigrantes;
DIGEO:148;<Un> inmigrante en el Delta;
DIGEO:145;<La> comunidad frenada: depresión regional y dinámica social;
DIGEO:155;"Estructura social de los sectores medios rurales: un análisis de la región pampeana; I. La familia rural";
DIGEO:156;Posibilidades de una inmigración selectiva de agricultores hacia la Argentina;
DIGEO:154;Estratificación social y movilidad social en Argentina: fuentes bibliográficas, 1880-1958;
DIGEO:152;Estudio preliminar de la migracion chilena en la provincia de Santa Cruz;
DIGEO:146;Movilidad geográfica de los inmigrantes limítrofes: su impacto en la frontera argentina;
DIGEO:150;<La> inmigración libanesa a la Argentina y a Mendoza;
"DIGEO:132; 1625";Mortalidad en Antártida desde fines del siglo XIX;
DIGEO:153;Inmigrantes y empresarios en la política argentina;
DIGEO:151;<La> política colonizadora en la provincia de Buenos Aires, 1854-1930;
DIGEO:149;Corrientes inmigratorias y surgimiento de industrias en Argentina, 1870-1914: trabajo preparado para la investigación sobre el impacto de la inmigración masiva en el Río de la Plata;
DIGEO:157-161;Historia de las mujeres en Occidente;
DIGEO:162;Population geography: a reader;
DIGEO:163;<Los> fragmentos del poder: de la oligarquía a la poliarquía argentina;
"DIGEO:164;315";Asociacionismo, trabajo e identidad étnica: los italianos en América Latina en una perspectiva comparada;
DIGEO:165;Western Europe: challenge and change;
DIGEO:166;<Los> indios de Argentina;
DIGEO:167;Invasión por el Sur;
DIGEO:168;"<La> Pampa Argentina: ocupación, poblamiento, explotación; de la conquista a la crisis mundial, 1550-1930";
DIGEO:169;<El> sistema demográfico europeo, 1500-1820;
DIGEO:170;Problemas de la población de América Latina;
DIGEO:173;Sociedad, economía y reforma agraria;
DIGEO:174;<Los> hombres del confín del mundo, Tierra del Fuego;
DIGEO:175;Approaching human geography: an introduction to contemporary theoretical debates;
DIGEO:177;Demografía histórica: cómo utilizar las fuentes de la historia para construirla;
DIGEO:182;Inmigración y colonización en la Argentina;
DIGEO:176;Vagos y mal entretenidos: aporte al tema Hernandiano;
DIGEO:181;Caracterología étnica: introducción al estudio y comprensión de los pueblos;
DIGEO:171;Desarrollo y bienestar argentino;
DIGEO:172;Argentina, sociedad de masas;
DIGEO:183;Families and work;
DIGEO:178;<la> tierra ajena: drama de la juventud agraria argentina;
DIGEO:180;Buenos Aires: urbanización e inmigración;
DIGEO:179;Buenos Aires, su gente, 1800-1830;
DIGEO:184;Population et société francaises, 1945-1981;
DIGEO:185;Populations of the Middle East and North America: a geographical approach;
DIGEO:186;Geografía del consumo;
DIGEO:187;Demografía brasileira;
DIGEO:188;<El> problema de la población;
DIGEO:189;<Una> estrategia de promoción humana;
DIGEO:190;Nosotros, mañana;
DIGEO:191,192,193;<El> estudio de la poblacion;
DIGEO:194;Dinámica y economía de la población;
DIGEO:196;<Los> próximos doscientos años;
DIGEO:199, 1100;Explosión poblacional, economía y política: Malthus, Marx y Suramérica;
DIGEO:98;<El> umbral de la metrópolis: transformaciones técnicas y cultura en la modernización de Buenos Aires, 1870-1930;
DIGEO:197;<La> práctica de la demografía: treinta problemas;
DIGEO:195;<La> cantidad humana;
DIGEO:1101,1102;Después de Germani: exploraciones sobre estructura social de la Argentina;
DIGEO:1118;Antropología ecológica;
DIGEO:1117;Historia de la inmigración y la colonización en la provincia de Santa Fe;
DIGEO:1116;<La> inmigración y su contribución al desarrollo;
DIGEO:1115;Demografía;
DIGEO:1114;Migraciones internas: teoría, método y factores sociológicos;
DIGEO:1119;"Hacia una política demográfica: préstamos de nupcialidad e indemnizaciones familiares; proyecto de ley presentado por el autor a la H.C. de Diputados de la Nación";
DIGEO:1106;Seis mil años de pan: su historia sagrada y profana;
DIGEO:1113;Buenos Aires: los huéspedes del veinte;
DIGEO:1111;<El> aumento de la población;
DIGEO:1112;<La> sobrepoblación: inflación demográfica;
DIGEO:1108;<La> población: sus movimientos, sus leyes;
DIGEO:1110;Habitat y vivienda;
DIGEO:1109;Demografía y estructura social;
DIGEO:1104;Geografía aplicada;
DIGEO:1105;<La> planificación del tiempo;
DIGEO:1122;<La> revolución demográfica mundial;
DIGEO:1120;Procesos de articulación social;
DIGEO:1121;Aspectos demográficos;
DIGEO:1107;Economía y geografía del desarrollo en América Latina;
DIGEO:1143;Fecundidad en la América Latina;
DIGEO:1144;Volver al país de los araucanos;
DIGEO:1145;Cómo sobrevivir a los riesgos de la tecnología moderna: consejos para mejorar la salud, la alimentación y el medio ambiente en un entorno hostil;
DIGEO:1147;Nuestros paisanos los indios: vida, historia y destino de las comunidades indígenas en la Argentina;
DIGEO:1146;Hacer la América: autobiografía de un inmigrante español en la Argentina;
DIGEO:1123;"<El> movimiento obrero y la cuestion nacional; Argentina: inmigrantes asalariados y lucha de claes, 1880-1910";
DIGEO:1131;Demasiada gente en el mundo: el problema de la superpoblación mundial;
DIGEO:1126;Economic development and population growth in the Middle East;
DIGEO:1125;<La> industrialización del siglo XX;
DIGEO:1124;Historia de las doctrinas de la población;
DIGEO:1135;Poblaciones en movimiento: una perspectiva comparada de la dinámica de la migración interna;
DIGEO:1134;<El> mito de la explosión demografica: la autorregulación natural de las poblaciones;
DIGEO:1133;<El> control de la natalidad;
DIGEO:1132;Hacinamiento: superpoblación y sexualidad;
DIGEO:1137;Análisis comparativo de la estructura demografica entre Nueva York y Pensylvania, 1960-1970;
DIGEO:1136;<Los> Médanos: estudio de una comunidad;
"DIGEO:1140;1168";Consideraciones sociodemográficas para el análisis de la fuerza de trabajo disponible en la región NEA;
DIGEO:1139;Evolución y distribución de la población argentina en el siglo XX;
DIGEO:1138;Notas preliminares para una historia de la inmigracion italiana en la Rep. Argentina;
DIGEO:1142;Distribución y movilidad territorial de la población y desarrollo humano;
"DIGEO:1141;2974";<El> proceso de poblamiento en el nordeste argentino: análisis del crecimiento natural;
DIGEO:1150;Geografía de la población;
DIGEO:1149;Mobility and integration in urban Argentina: Córdoba in the Liberal Era;
DIGEO:1130;<La> evolución de la población rural;
DIGEO:1129;Recursos humanos como riqueza de las naciones;
DIGEO:1128;Aspectos ocultos de la educación en la Argentina: políticas de inversión y productividad, 1900-1970;
DIGEO:1127;<Los> grandes problemas actuales de la población;
DIGEO:1151;Instrumental para el estudio de la economía argentina;
DIGEO:1152;<La> dolorosa libertad de prensa: en busca de la ética perdida;
DIGEO:1153;Geografía económica argentina;
DIGEO:1154;Composición por edad y sexo e índices de dependencia de la población en la República Mexicana;
DIGEO:1155;Sociedades en mutación;
"DIGEO:1148;1170";Teoría de la población;
DIGEO:1156;Fundamentos de demografía;
DIGEO:1160;Geography and a crowding world;
DIGEO:1161;Tendencias y políticas de población;
DIGEO:1162;<La> economía del diablo: desempleo e inflacion;
DIGEO:1159;Techniques in human geography;
DIGEO:1164;General theory of population;
DIGEO:1163;Atlas de la guerra: conflicto armado-paz armada;
DIGEO:1157;<La> población de la provincia de Córdoba a fines del siglo XVIII;
DIGEO:1158;Population in perspective;
DIGEO:1165;Theoretical perspectives on sexual difference;
DIGEO:1166;Procreación en la Argentina: hechos e ideas;
DIGEO:1167;<El> caso argentino: migración de factores, comercio exterior y desarrollo, 1875-1914;
DIGEO:1176;Argentina en el subdesarrollo: los orígenes, los protagonistas, las soluciones;
DIGEO:1174;<El> problema de la población en el mundo: de Malthus a Mao Tse Tung;
DIGEO:1173;Costo y valor de la vida humana;
DIGEO:1172;<La> moderna metrópoli: reflexiones sociológicas sobre la construcción en las ciudades;
DIGEO:1171;Geografía de la población;
DIGEO:1169;<El> planeta hambriento: el mundo moderno al borde de la hambruna;
DIGEO:1180;Cambio social y población en el pensamiento de Mayo, 1810-1830;
DIGEO:1179;Introducción a la geografía de la población;
DIGEO:1178;<La> explosión demográfica: ¿ cuántos son demasiados ?;
DIGEO:1177;Estado y población: bases para una política poblacional;
DIGEO:1182;<El> pensamiento crítico en demografía;
DIGEO:1181;Tormenta sobre las multinacionales: las cuestiones esenciales;
DIGEO:1175;"Ayuda internacional en población: el primer decenio; examen de los conceptos y políticas por los que se ha guiado el FNUAP en los primeros diez años de su existencia";
DIGEO:1196;<La> gran inmigración;
DIGEO:1197;Aspectos demográficos de la mano de obra en América Latina;
DIGEO:1198;<Los> sometidos de la conquista: Argentina, Bolivia, Paraguay;
DIGEO:1199;<El> Mercosur como marco de estrategias competitivas: rol del sector terciario;
DIGEO:1200;Argentina y el MERCOSUR: una respuesta a la iniciativa para las Américas y a Europa '92 ;
DIGEO:1183;<Les> politiques de population;
DIGEO:1184;Exodos campesinos en la Argentina: principales causas, efectos y medios de contención;
DIGEO:1185;<La> iglesia católica y la cuestión racial;
DIGEO:1187;<Los> hundidos: evaluación de la población marginal;
DIGEO:1203;<Los> trabajadores de Buenos Aires: la experiencia del mercado: 1950-1880;
DIGEO:1204;<Las> villas de emergencia;
DIGEO:1201;<La> Patagonia es así..;
DIGEO:1202;Revolución en las pampas: historia social del trigo argentino, 1860-1910;
DIGEO:1190;Hambre: la lucha del hombre por su alimento;
DIGEO:1188;Ciudades y sistemas urbanos: economía informal y desorden espacial;
DIGEO:1192;"<La> marginalidad urbana: origen, proceso y modo; resultados de una encuesta en poblaciones marginales del Gran Santiago";
DIGEO:1191;<La> precarización del empleo en la Argentina;
DIGEO:1193;Historia y población: introducción a la demografía histórica;
DIGEO:1186;Geografía, ciencia humana;
DIGEO:1189;Medio ambiente y urbanización;
DIGEO:1195;<El> mito de la belleza;
DIGEO:1194;Population analysis in geography;
DIGEO:1222;<El> análisis demográfico: conceptos, métodos, resultados;
DIGEO:1208;"Población: una opción internacional; el enfoque multilateral en materia de población";
DIGEO:1223;Nacionalidad y ciudadanía;
DIGEO:1209;<La> luz gay: homosexualidad: decadencia de la cultura y regulación demográfica;
DIGEO:1207;Límites de la vida humana;
DIGEO:1206;<Los> terratenientes;
DIGEO:1218;Cibernética y pedagogía;
DIGEO:1205;Introducción a la demografía;
DIGEO:1210;People on the move: studies on internal migration;
DIGEO:1216;<A> prologue to population geography;
DIGEO:1215;<A> population guide to population geography;
DIGEO:1224;Problemas demográficos argentinos;
DIGEO:1220;<La> inmigración en la Argentina;
DIGEO:1219;Estructura social de la Argentina, 1945-1983;
DIGEO:1217;<La> población urbana argentina en 1970 y 1960: revisión crítica de la información censal oficial;
DIGEO:1221;Demographic analysis: methods, results, applications;
DIGEO:1212;Aspectos ocultos de la salud en la Argentina: la productividad de los recursos del sector;
DIGEO:1211;Informe 1983 del Director Ejecutivo del Fondo de las Naciones Unidas para Actividades en Materia de Población;
DIGEO:1214;Exodo juvenil en Villa María;
DIGEO:1234;Migración al Sur: argentinos y chilenos en Comodoro Rivadavia;
DIGEO:1236;Malthus y el control de la natalidad: política de población en la Argentina;
DIGEO:1235;<El> poder político y la población;
DIGEO:1237;Cómo se hace una tesis: técnicas y procedimientos de investigación, estudio y escritura;
DIGEO:1238;Elementary statistics for geographers;
DIGEO:1239;Esperando a los Bárbaros: sobre inmigrantes y drogadictos;
DIGEO:1240;<Los> alemanes del Volga: tras largo peregrinar por Europa hallaron patria definitiva en América;
DIGEO:1227;Argentina superpoblada;
DIGEO:1229;<De> <el> Havre al Río de la Plata en 47 días;
DIGEO:1233;Géographie de la population;
DIGEO:1228;Gobernar bien...es poblar;
DIGEO:1231;<La> población española: siglos XVI a XX;
DIGEO:1232;<La> pobreza de los argentinos;
DIGEO:1230;<El> hambre en la historia;
DIGEO:1225;Histoire générale de la population mondiale;
DIGEO:1226;Spatial population analysis;
DIGEO:1242;Políticas de población y desarrollo económico: informe del Banco Mundial;
DIGEO:1241;<Los> terciarios;
DIGEO:1243;<El> desarrollo agropecuario pampeano;
DIGEO:1263;Causas de muerte, impactos sobre la esperanza de vida;
DIGEO:1270;Where the grass is greener: geographical perspectives on inequality;
DIGEO:1245;Informe sobre el desarrollo mundial 1994: infraestructura y desarrollo;
DIGEO:1246;<The> World Bank Atlas 1995;
DIGEO:1247;Turismo;
DIGEO:1244;Nuestro planeta, nuestra salud: informe de la Comisión de Salud y Medio Ambiente de la OMS;
DIGEO:1249;Boletín;
DIGEO:1251;Population geography;
DIGEO:1250;Aportaciones positivas de los inmigrantes;
DIGEO:1252;Manuales sobre métodos de cálculo de la poblacion: Manual VI, métodos de medición de la migración interna;
DIGEO:1257;<La> población mundial: problema capital para el desarrollo: resumen de los aspectos más destacados de la Conferencia Mundial de Población;
DIGEO:1259;Demografía histórica del noroeste argentino 1: dinámica demográfica hacia fines del siglo XVIII;
DIGEO:1258;Consequences of rapid population growth: an overview;
DIGEO:1299;East-West migration: the alternatives;
DIGEO:1297;Informe 1985 del Director Ejecutivo del Fondo de las Naciones Unidas para Actividades en Materia de Población;
DIGEO:1296;Special report of the Director-General on the Application of the Declaration concerning the Policy of Apartheid in South Africa;
DIGEO:1291;<La> población: sus movimientos, sus leyes;
DIGEO:1290;Nuestra propia agenda sobre desarrollo y medio ambiente;
DIGEO:1289;Notas sobre el uso del método de las relaciones de supervivencia para la medición de las migraciones;
"DIGEO:1288;21159";Migraciones en la Argentina: estudio de las migraciones internas e internacionales, basado en datos censales, 1869-1960;
DIGEO:1287;Clase obrera y migraciones: tres estudios;
DIGEO:1293;Ciencias de la vida;
DIGEO:1295;Demografía retrospectiva e historia económica;
DIGEO:1272;Inmigración limítrofe en la Argentina;
DIGEO:1373;Estatuto de las Carreras del Investigador Científico y Tecnológico y del Personal de Apoyo a la Investigación y Desarrollo;
DIGEO:1;Grandes ciudades de América Latina: dos capítulos;
DIGEO:1271;La innovación y transferencia de tecnologia en el CONICET;
DIGEO:1282;<El> FNUAP, lo que es, lo que hace;
DIGEO:1281;Acción de gobierno en el décimo aniversario del retorno a la democracia;
DIGEO:1280;Hacia una política de ordenación del territorio;
DIGEO:1286;<El> problema de la integración sociocultural de la población del área de frontera de Misiones: el caso Bernardo de Irigoyen;
DIGEO:1283;Evaluación y ajuste de algunos resultados de los tres primeros censos nacionales de población;
DIGEO:1284;<La> migración como factor de cambio de la población en la Argentina;
DIGEO:1285;Tendencias a largo plazo del empleo en una microregión agrícola;
DIGEO:1267;Concentración demográfica en nuestro país: un breve paralelo con el Brasil;
DIGEO:1268;National Security Study Memorandum 200: implications of world population growth for U.S. security and overseas interest;
DIMED:D0;<Los> miraglos de Santiago : <(>Biblioteca Nacional de Madrid MS10252<)>;
DIMED:B3;Letters and letter collections;
DIMED:J5;"Three studies in Medieval religious and social thought: the interpretation of Mary and Martha; the ideal of the imitation of Christ; the order of society";
DIMED:E228;Vie de Saint Germain d'Auxerre;
DIMED:E234;<Des> pouvoirs en France, 1330-1500;
DIMED:J4;<La> noblesse au royaume de France, de Philipe le Bel a Louis XII;
DIMED:E2;Histoire militaire de la France 1: des origines a 1715;
DIMED:N1;Diccionario de términos históricos;
DIMED:J4;<La> théorie médiévale de la beauté;
DIMED:G5;<The> martyrs of Cordoba: community and family in an age of mass conversion;
DIMED:B3;<La> miniature;
DIMED:B3;<Les> visites pastorales: mise a jour du fascicule n° 23;
DIMED:B3;<Les> légendiers latins et autres manuscrits hagiographiques;
DIMED:B3;<Les> légendiers latins et autres manuscrits hagiographiques: mise a jour du fascicule n° 24-25;
DIPA:3-4-44a;<Una> expedición al Cabo Vírgenes;
DIMED:B3;<La> coutume;
DIMED:B3;<Les> armes;
DIMED:B3;<Les> libri paenitentiales: mise a jour du fascicule n° 27;
DIMED:B3;<La> tapisserie;
DIMED:B3;Capitula episcoporum die bischöflichen kapitularien des 9. und 10. jahrhunderts;
DIMED:B3;<L'>épopée;
DIMED:B3;Latin hymns;
DIMED:B3;Ortsnamen;
DIMED:B3;Artes praedicandi and artes orandi;
DIGEO:1311;Población y crisis;
DIGEO:1312;Bibliografía sobre temas de población en revistas especializadas, 1960-1969;
DIGEO:1313;Tata Dios el mesías de la última montonera;
DIGEO:1314;<La> limitación de nacimientos: problemas de la población;
"DIGEO:1316;21397";<La> política migratoria argentina;
"DIGEO:1318;1319";Pensamiento científico;
DIGEO:1;;
DIGEO:1300;<La> mortalidad infantil en la Argentina, 1976-1981;
DIGEO:1303;Población y recursos: el incierto futuro;
DIGEO:1304;Reflections on population;
DIGEO:1306;Dictionnaire de démographie;
DIGEO:1308;<L'>Uruguay e gli italiani;
DIGEO:1310;Sistemas de información geográfica;
DIGEO:1327;Historia del alambrado en Argentina;
DIGEO:1324;Relaciones literarias entre España y la Argentina: seminario 1991;
DIGEO:1323;<La> inmigración en la literatura argentina, 1880-1910;
DIGEO:1330;Colonias y colonizadores;
DIGEO:1328;Veintidós dimensiones del problema demográfico;
DIGEO:1326;Historia social y económica argentina: primera parte, de la colonia a la inmigración;
DIGEO:1332;"Migraciones internas en la Argentina y las utopías revolucionarias de Lisandro de la Torre; problemas agrarios";
DIGEO:1335;Parias argentinos: explotación y miseria de los trabajadores en el norte del país;
DIGEO:1325;Historia de la colonización agrícola en Argentina;
DIGEO:1333;<La> gran inmigracióna;
DIGEO:1321;<La> población de la provincia de La Rioja desde el punto de vista geográfico;
DIGEO:1339;Población mundial y recursos naturales: nuestro mundo en desarrollo;
DIGEO:1336;Teoría de la población: ecología urbana y su aplicación a la Argentina;
DIGEO:1334;<El> estado del mundo 1984: anuario económico y geopolítico mundial;
DIGEO:1338;<El> dilema de la población mundial;
DIGEO:1337;Inmigración española en la Argentina: seminario 1990;
DIGEO:1340;<El> otro sendero: la revolución informal;
DIGEO:1331;Historia de los saladeros argentinos;
DIGEO:1341;Inmigración en la Argentina;
DIGEO:1342;Settlement patterns;
DIGEO:1317;Investigación social en agrupaciones de villas miserias de la ciudad de Buenos Aires;
DIGEO:1396;Historia de las aguadas y el molino;
DIGEO:1397;Malthus;
DIGEO:1399;<La> emigración europea al Río de la Plata;
DIGEO:1398;<El> subconsumo de alimentos en América del Sur;
DIGEO:1400;<Los> trabajadores en tiempos de la inmigración masiva en Argentina 1870-1910;
DIGEO:1401;Problemas de inmigración y de criminología;
DIPA:4-3-46;Entre montañas y desiertos: arqueología del sur de Mendoza;
